,size,density,time
194,30,0.5,6.389617919921875e-05
195,30,0.5,6.222724914550781e-05
196,30,0.5,6.29425048828125e-05
197,30,0.5,6.413459777832031e-05
198,30,0.5,7.414817810058594e-05
199,30,0.5,6.29425048828125e-05
200,30,0.5,6.198883056640625e-05
201,30,0.5,6.29425048828125e-05
202,30,0.5,6.508827209472656e-05
203,30,0.5,6.103515625e-05
204,30,0.5,7.081031799316406e-05
205,30,0.5,6.67572021484375e-05
206,30,0.5,5.7697296142578125e-05
207,30,0.5,6.103515625e-05
208,30,0.5,6.222724914550781e-05
209,30,0.5,6.29425048828125e-05
210,30,0.7,7.390975952148438e-05
211,30,0.7,7.295608520507812e-05
212,30,0.7,7.295608520507812e-05
213,30,0.7,7.295608520507812e-05
214,30,0.7,7.200241088867188e-05
215,30,0.7,7.081031799316406e-05
216,30,0.7,6.985664367675781e-05
217,30,0.7,7.104873657226562e-05
218,30,0.7,7.295608520507812e-05
219,30,0.7,7.128715515136719e-05
220,30,0.7,7.224082946777344e-05
221,30,0.7,7.104873657226562e-05
222,30,0.7,7.414817810058594e-05
223,30,0.7,7.224082946777344e-05
224,30,0.7,7.200241088867188e-05
225,30,0.7,7.081031799316406e-05
226,30,0.7,7.200241088867188e-05
227,30,0.7,7.605552673339844e-05
228,30,0.7,7.486343383789062e-05
229,30,0.7,7.295608520507812e-05
230,30,0.9,8.702278137207031e-05
231,30,0.9,8.20159912109375e-05
232,30,0.9,8.082389831542969e-05
233,30,0.9,7.891654968261719e-05
234,30,0.9,8.082389831542969e-05
235,30,0.9,7.891654968261719e-05
236,30,0.9,8.106231689453125e-05
237,30,0.9,7.867813110351562e-05
238,30,0.9,7.677078247070312e-05
239,30,0.9,7.987022399902344e-05
240,30,0.9,7.987022399902344e-05
241,30,0.9,7.796287536621094e-05
242,30,0.9,7.891654968261719e-05
243,30,0.9,7.987022399902344e-05
244,30,0.9,7.891654968261719e-05
245,30,0.9,7.915496826171875e-05
246,30,0.9,7.796287536621094e-05
247,30,0.9,8.296966552734375e-05
248,30,0.9,8.392333984375e-05
249,30,0.9,8.20159912109375e-05
250,40,0.1,8.7738037109375e-05
251,40,0.1,7.081031799316406e-05
252,40,0.1,6.604194641113281e-05
253,40,0.1,6.604194641113281e-05
254,40,0.1,7.176399230957031e-05
255,40,0.1,6.723403930664062e-05
256,40,0.1,6.67572021484375e-05
257,40,0.1,6.723403930664062e-05
258,40,0.1,6.794929504394531e-05
259,40,0.1,6.818771362304688e-05
260,40,0.1,6.604194641113281e-05
261,40,0.1,7.081031799316406e-05
262,40,0.1,6.985664367675781e-05
263,40,0.1,6.771087646484375e-05
264,40,0.1,6.604194641113281e-05
265,40,0.1,6.794929504394531e-05
266,40,0.1,6.794929504394531e-05
267,40,0.1,0.00012803077697753906
268,40,0.1,6.914138793945312e-05
269,40,0.1,7.104873657226562e-05
270,40,0.3,8.702278137207031e-05
271,40,0.3,8.296966552734375e-05
272,40,0.3,8.893013000488281e-05
273,40,0.3,8.106231689453125e-05
274,40,0.3,8.225440979003906e-05
275,40,0.3,8.606910705566406e-05
276,40,0.3,9.584426879882812e-05
277,40,0.3,8.392333984375e-05
278,40,0.3,8.20159912109375e-05
279,40,0.3,8.58306884765625e-05
280,40,0.3,8.416175842285156e-05
281,40,0.3,8.511543273925781e-05
282,40,0.3,8.487701416015625e-05
283,40,0.3,8.606910705566406e-05
284,40,0.3,8.702278137207031e-05
285,40,0.3,8.511543273925781e-05
286,40,0.3,8.702278137207031e-05
287,40,0.3,8.606910705566406e-05
288,40,0.3,8.177757263183594e-05
289,40,0.3,8.487701416015625e-05
290,40,0.5,0.00011014938354492188
291,40,0.5,0.00010180473327636719
292,40,0.5,0.00010704994201660156
293,40,0.5,0.00010609626770019531
294,40,0.5,0.00010585784912109375
295,40,0.5,0.0001049041748046875
296,40,0.5,0.00010609626770019531
297,40,0.5,0.00010418891906738281
298,40,0.5,0.00010800361633300781
299,40,0.5,0.00011515617370605469
300,40,0.5,0.00010418891906738281
301,40,0.5,0.00011014938354492188
302,40,0.5,0.00010371208190917969
303,40,0.5,0.00010204315185546875
304,40,0.5,0.00010013580322265625
305,40,0.5,0.00010704994201660156
306,40,0.5,0.00010371208190917969
307,40,0.5,0.000102996826171875
308,40,0.5,0.00010800361633300781
309,40,0.5,0.00010085105895996094
310,40,0.7,0.00012493133544921875
311,40,0.7,0.00012612342834472656
312,40,0.7,0.00012803077697753906
313,40,0.7,0.0001289844512939453
314,40,0.7,0.0001251697540283203
315,40,0.7,0.00013208389282226562
316,40,0.7,0.00012612342834472656
317,40,0.7,0.00012636184692382812
318,40,0.7,0.0001227855682373047
319,40,0.7,0.0001251697540283203
320,40,0.7,0.00012373924255371094
321,40,0.7,0.00012230873107910156
